"agency_cd","site_no","dateTime","X_00045_00006","X_00045_00006_cd","X_00060_00003","X_00060_00003_cd","X_00065_00003","X_00065_00003_cd","tz_cd"
"USGS","03456500",1954-03-01,NA,NA,350,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-02,NA,NA,270,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-03,NA,NA,230,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-04,NA,NA,200,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-05,NA,NA,180,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-06,NA,NA,165,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-07,NA,NA,155,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-08,NA,NA,150,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-09,NA,NA,145,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-10,NA,NA,140,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-11,NA,NA,138,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-12,NA,NA,133,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-13,NA,NA,182,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-14,NA,NA,368,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-15,NA,NA,234,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-16,NA,NA,202,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-17,NA,NA,180,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-18,NA,NA,167,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-19,NA,NA,188,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-20,NA,NA,191,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-21,NA,NA,162,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-22,NA,NA,152,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-23,NA,NA,145,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-24,NA,NA,228,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-25,NA,NA,199,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-26,NA,NA,254,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-27,NA,NA,211,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-28,NA,NA,199,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-29,NA,NA,177,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-30,NA,NA,167,"A",NA,NA,"UTC"
"USGS","03456500",1954-03-31,NA,NA,214,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-01,NA,NA,234,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-02,NA,NA,191,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-03,NA,NA,175,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-04,NA,NA,162,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-05,NA,NA,152,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-06,NA,NA,160,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-07,NA,NA,154,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-08,NA,NA,150,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-09,NA,NA,138,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-10,NA,NA,129,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-11,NA,NA,126,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-12,NA,NA,118,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-13,NA,NA,114,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-14,NA,NA,111,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-15,NA,NA,107,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-16,NA,NA,149,"A",NA,NA,"UTC"
"USGS","03456500",1954-04-17,NA,NA,168,"A",NA,NA,"UTC"
